,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0
2,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
3,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0
4,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0
5,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
6,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1
7,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0
8,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0
9,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1
10,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1
11,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0
12,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
13,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0
14,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
15,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0
16,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1
17,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1
18,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0
